file,clip_id,episode_id,ok,bytes,n_raw,n_decoded,n_bad_frames,n_const_frames_sampled,T_out,nlab,hours,image_size,n_stack,quality,mean_v,max_v,min_v,stop_frac,dist_m,net_head,cum_head,junction,stopped,city,hw,lk,tl,tr,ac,bs,lk2,tl2,tr2,ac2,bs2,has_stop,has_brake,has_turn,n_nan_poses,n_nan_actions
7e971797-10d3-4c69-9d3d-1fcb8d4039d7.v2ep.pt,7e971797-10d3-4c69-9d3d-1fcb8d4039d7,929380663,True,4072527,201,201,0,0,199,179,0.005527777777777777,256,3,90,5.922076225280762,7.080227375030518,4.409525394439697,0.0,117.84931640625001,61.192306811926215,61.792448213538556,1,0.0,1.0,0.0,129,29,0,10,11,133,25,0,10,11,0,1,1,0,0
7e9bdf89-c310-4682-a3ea-14c2b847003f.v2ep.pt,7e9bdf89-c310-4682-a3ea-14c2b847003f,929380706,True,2030735,201,201,0,0,199,179,0.005527777777777777,256,3,90,11.28437614440918,17.22703742980957,2.798625946044922,0.0,224.55908203125,114.95660531654515,124.94895350622036,1,0.0,0.4673366844654083,0.5326633453369141,49,0,53,75,2,49,0,51,76,3,0,1,1,0,0
7e9c0e3d-9d20-4eff-b6f6-8c0b2927482e.v2ep.pt,7e9c0e3d-9d20-4eff-b6f6-8c0b2927482e,929380707,True,1683471,201,201,0,0,199,179,0.005527777777777777,256,3,90,21.862712860107422,23.061935424804688,17.1774959564209,0.0,435.06796875000003,5.6122434975944175,15.60423651743279,0,0.0,0.0,1.0,166,3,0,0,10,166,0,0,0,13,0,1,1,0,0
7ea6cdfd-340b-4f9c-9dc2-042da89b7117.v2ep.pt,7ea6cdfd-340b-4f9c-9dc2-042da89b7117,929390902,True,2190415,201,201,0,0,199,179,0.005527777777777777,256,3,90,8.944777488708496,13.575279235839844,3.5610952377319336,0.0,178.00107421875,88.62250361304834,106.98970874410219,1,0.0,0.6683416962623596,0.3316583037376404,54,0,56,23,46,55,0,55,23,46,0,1,1,0,0
7ea863f2-6ce9-4233-812f-9a9ed1ac5e87.v2ep.pt,7ea863f2-6ce9-4233-812f-9a9ed1ac5e87,929390904,True,2261583,201,201,0,0,199,179,0.005527777777777777,256,3,90,19.714344024658203,25.710031509399414,8.199358940124512,0.0,392.3154541015625,3.55676636877078,5.839156042200581,0,0.0,0.21105527877807617,0.7889447212219238,87,0,0,0,92,87,0,0,0,92,0,1,0,0,0
7ebe584c-bfc5-417b-b804-c8c32eb9eb8e.v2ep.pt,7ebe584c-bfc5-417b-b804-c8c32eb9eb8e,929391205,True,2539407,201,201,0,0,199,179,0.005527777777777777,256,3,90,5.810465335845947,15.007611274719238,0.0,0.21608039736747742,115.62825927734376,52.7715031880009,69.97404495235169,1,0.2512562870979309,0.5175879597663879,0.23115578293800354,45,39,0,57,38,42,59,0,40,38,1,1,1,0,0
7ec26843-86d2-42ee-9fc4-c3b24eed6ebe.v2ep.pt,7ec26843-86d2-42ee-9fc4-c3b24eed6ebe,929391410,True,2509583,201,201,0,0,199,179,0.005527777777777777,256,3,90,14.42711353302002,16.246105194091797,11.0810546875,0.0,287.099560546875,5.087452742905658,7.2950655053021585,0,0.0,0.15075376629829407,0.8492462038993835,113,0,0,51,15,113,0,0,51,15,0,1,0,0,0
7ee8b81f-1218-4b2f-ac9d-940a970b48d1.v2ep.pt,7ee8b81f-1218-4b2f-ac9d-940a970b48d1,929391928,True,2962063,201,201,0,0,199,179,0.005527777777777777,256,3,90,5.183263301849365,10.975025177001953,0.0,0.12060301750898361,103.14693603515626,91.93985136084265,109.03794587240561,1,0.1557788997888565,0.8442211151123047,0.0,43,78,0,43,15,32,108,0,39,0,1,1,1,0,0
7eeaf781-3b6b-4ee8-ba61-abdbc9a40c1f.v2ep.pt,7eeaf781-3b6b-4ee8-ba61-abdbc9a40c1f,929391969,True,1806287,201,201,0,0,199,179,0.005527777777777777,256,3,90,6.270475387573242,8.04870319366455,3.4315359592437744,0.0,124.78245849609375,97.15434562231056,117.02801044651325,1,0.0,1.0,0.0,75,0,44,30,30,76,0,42,31,30,0,1,1,0,0
7eee53a9-c058-44d7-8b63-dd7720e9e459.v2ep.pt,7eee53a9-c058-44d7-8b63-dd7720e9e459,929391973,True,2857359,201,201,0,0,199,179,0.005527777777777777,256,3,90,17.351158142089844,18.53233528137207,15.499019622802734,0.0,345.288037109375,44.01104791702918,49.37482279299687,0,0.0,0.0,1.0,94,0,48,12,25,126,0,0,28,25,0,1,1,0,0
7ef6b146-8b11-4a91-ab5f-148a31bb12e1.v2ep.pt,7ef6b146-8b11-4a91-ab5f-148a31bb12e1,929392182,True,1907727,201,201,0,0,199,179,0.005527777777777777,256,3,90,11.768026351928711,13.450010299682617,9.85877799987793,0.0,234.1837158203125,44.19376913770537,154.76955942249603,1,0.0,0.6030150651931763,0.39698493480682373,17,91,41,5,25,54,15,28,34,48,0,1,1,0,0
7efabe15-0b31-4bd0-b656-ada25b50ed50.v2ep.pt,7efabe15-0b31-4bd0-b656-ada25b50ed50,929392225,True,2968143,200,200,0,0,198,178,0.0055000000000000005,256,3,90,25.93804168701172,27.785404205322266,22.195600509643555,0.0,513.5732421875,4.425566431196402,64.90037553119112,0,0.0,0.0,1.0,49,36,47,0,46,127,0,0,0,51,0,1,1,0,0
7f0f12c7-ffcb-4e42-89d0-402171caa751.v2ep.pt,7f0f12c7-ffcb-4e42-89d0-402171caa751,929443942,True,3766223,201,201,0,0,199,179,0.005527777777777777,256,3,90,14.54195785522461,16.78750991821289,12.15903091430664,0.0,289.3849609375,6.895731665288193,115.76874212961634,1,0.0,0.0,1.0,20,60,44,13,42,65,0,23,36,55,0,1,1,0,0
7f210ba7-82e9-48e1-afd9-b31cf35a9e18.v2ep.pt,7f210ba7-82e9-48e1-afd9-b31cf35a9e18,929444401,True,1866703,201,201,0,0,199,179,0.005527777777777777,256,3,90,3.075857162475586,4.0184245109558105,1.8128035068511963,0.0,61.20955810546875,23.431920174212543,69.24673908877206,1,0.0,1.0,0.0,118,1,45,15,0,107,2,55,15,0,0,0,1,0,0
