file,episode_id,T_out,nlab,mean_v,stop_frac,net_head,cum_head,junction,stopped,city,hw,lk,tl,tr,ac,bs,lk2,tl2,tr2,ac2,bs2,has_stop,has_brake,has_turn
ep_00011.pt,808530743,199,179,2.8710618019104004,0.286432147026062,1.6470591372135548,9.20280564237842,0,0.34170854091644287,0.6582914590835571,0.0,136,0,0,0,43,136,0,0,0,43,1,1,0
ep_00012.pt,808530788,199,179,21.79332160949707,0.0,1.634273023087291,2.6100201875369726,0,0.0,0.0,1.0,179,0,0,0,0,179,0,0,0,0,0,0,0
ep_00013.pt,808531043,199,179,35.920040130615234,0.0,0.059272381617370654,2.6223691695563556,0,0.0,0.0,1.0,179,0,0,0,0,179,0,0,0,0,0,0,0
ep_00014.pt,808532023,199,179,1.0743956565856934,0.0954773873090744,49.5780345811831,51.61187367071613,1,0.3668341636657715,0.6331658363342285,0.0,166,13,0,0,0,56,123,0,0,0,1,0,1
ep_00015.pt,808532281,199,179,9.793622016906738,0.055276382714509964,83.25155703845213,84.33890266375064,0,0.07537688314914703,0.4070351719856262,0.5175879597663879,0,0,100,0,79,59,0,0,24,96,1,1,1
ep_00016.pt,808542770,199,179,4.6480512619018555,0.05025125667452812,75.31222027931018,126.6904741596552,1,0.10050251334905624,0.8994975090026855,0.0,19,58,29,44,29,22,54,31,44,28,1,1,1
ep_00017.pt,808542821,199,179,6.520546913146973,0.0,55.20452585338616,124.1788086961664,1,0.0,0.9899497628211975,0.01005025114864111,53,56,26,0,44,55,53,27,0,44,0,1,1
ep_00018.pt,808543797,199,179,3.7017858028411865,0.0,5.118502782872535,17.043330054797796,1,0.0,1.0,0.0,179,0,0,0,0,179,0,0,0,0,0,0,0
ep_00019.pt,808543842,199,179,21.825424194335938,0.0,0.6632250287865782,5.5922037225696,0,0.0,0.0,1.0,179,0,0,0,0,179,0,0,0,0,0,0,0
ep_00020.pt,808543842,199,179,25.426443099975586,0.0,8.524048763419232,11.439214482315695,0,0.0,0.0,1.0,85,0,0,20,74,85,0,0,20,74,0,1,0
ep_00021.pt,808595512,199,179,11.903936386108398,0.0,11.001740865976378,12.272893712029111,0,0.0,0.5577889680862427,0.4422110617160797,176,0,0,0,3,176,0,0,0,3,0,1,0
ep_00022.pt,808597048,199,179,17.826040267944336,0.0,0.3229313439582029,8.13603937704915,0,0.0,0.0,1.0,179,0,0,0,0,179,0,0,0,0,0,0,0
ep_00023.pt,808597812,199,179,5.011969566345215,0.0,18.02057986086488,54.539524975415375,1,0.0,1.0,0.0,118,0,36,25,0,114,4,41,20,0,0,0,1
ep_00024.pt,808597857,199,179,5.414146423339844,0.0,5.99966548769588,14.70359411309657,1,0.14070351421833038,0.8592965006828308,0.0,73,0,0,62,44,73,0,0,62,44,0,1,0
ep_00025.pt,808597859,199,179,2.7987873554229736,0.23115578293800354,9.197778623149292,11.817593301956062,0,0.2964824140071869,0.7035176157951355,0.0,79,0,0,22,78,79,0,0,22,78,1,1,0
ep_00026.pt,808608312,199,179,4.894942760467529,0.3467336595058441,73.00208637747178,110.41782166966661,1,0.356783926486969,0.643216073513031,0.0,67,67,3,15,27,68,78,0,3,30,1,1,1
ep_00027.pt,808608612,199,179,6.8502607345581055,0.2613065242767334,85.43401421413547,94.15322880289865,1,0.2713567912578583,0.47236180305480957,0.25628140568733215,66,55,0,58,0,67,46,0,66,0,1,0,1
ep_00028.pt,808609073,199,179,10.2518949508667,0.0,80.8686338106289,121.99200068998177,1,0.0,0.4974874258041382,0.5025125741958618,23,21,62,9,64,23,0,59,9,88,0,1,1
ep_00029.pt,808609332,190,170,32.605655670166016,0.0,3.0272354627980316,7.367506491639314,0,0.0,0.0,1.0,170,0,0,0,0,170,0,0,0,0,0,0,0
ep_00030.pt,808609334,199,179,27.873689651489258,0.0,7.972606610589084,12.742277972170728,0,0.0,0.0,1.0,179,0,0,0,0,179,0,0,0,0,0,0,0
ep_00031.pt,808661089,199,179,8.699142456054688,0.0,91.57460016478706,99.77205660285296,1,0.0,0.909547746181488,0.09045226126909256,38,51,0,51,39,38,46,0,54,41,0,1,1
