# leak scan over 306152 known clip ids (+ their 8-hex prefixes and 12-hex tails)
# control GOALS_AND_CLAIMS.md at tip 6a052cb: {'full_ids': 1, 'prefixes': 38, 'tails': 2}  (must read > 0 prefixes)
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t34.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t36.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t55.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t79.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t80.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t84.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t90.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_feccf3ba3479_t46.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_feccf3ba3479_t55.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_feccf3ba3479_t75.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  adjudication_pack.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_anatomy.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_violating_samples.jsonl
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  dac_windows.jsonl
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_depth.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_depth_samples.jsonl
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  leak_scan.txt
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  projection_controls.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  projection_index.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  render_index.json
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  RESULT.md
# files 127 | hits 0 | GATE PASS
