[s1] join   /home/nvidia/percprobe/raw/b1train_agents.jsonl.xz
[s1] md5    1c985e6d6ad34e605c4ebd30cb353558  (0.8 s)
[s1] spec   {'n_az': 20, 'n_rng': 24, 'r_max_m': 60.0, 'hfov_deg': 120.0, 'r_min_m': 0.0, 'sub_r': 2, 'sub_az': 3, 'shape': [24, 20], 'dr_m': 2.5, 'daz_deg': 6.0, 'n_cells': 480}
[s1] 71000 frames  44s  shadow 0.1925  pos_sup 0.03446
[s1] 71500 frames  44s  shadow 0.1920  pos_sup 0.03430
[s1] 72000 frames  44s  shadow 0.1912  pos_sup 0.03411
[s1] 72500 frames  45s  shadow 0.1923  pos_sup 0.03428
[s1] 73000 frames  45s  shadow 0.1914  pos_sup 0.03406
[s1] 73500 frames  45s  shadow 0.1906  pos_sup 0.03390
[s1] 74000 frames  46s  shadow 0.1908  pos_sup 0.03389
[s1] 74500 frames  46s  shadow 0.1905  pos_sup 0.03381
[s1] 75000 frames  46s  shadow 0.1908  pos_sup 0.03381
[s1] 75500 frames  47s  shadow 0.1914  pos_sup 0.03392
[s1] 76000 frames  47s  shadow 0.1909  pos_sup 0.03382
[s1] 76500 frames  47s  shadow 0.1907  pos_sup 0.03383
[s1] 77000 frames  47s  shadow 0.1901  pos_sup 0.03370
[s1] 77500 frames  48s  shadow 0.1904  pos_sup 0.03381
[s1] 78000 frames  48s  shadow 0.1895  pos_sup 0.03363
[s1] 78500 frames  48s  shadow 0.1898  pos_sup 0.03366
[s1] 79000 frames  49s  shadow 0.1889  pos_sup 0.03349
[s1] 79500 frames  49s  shadow 0.1883  pos_sup 0.03336
[s1] 80000 frames  49s  shadow 0.1885  pos_sup 0.03345
[s1] 80500 frames  49s  shadow 0.1901  pos_sup 0.03375
[s1] 81000 frames  50s  shadow 0.1902  pos_sup 0.03376
[s1] 81500 frames  50s  shadow 0.1907  pos_sup 0.03383
[s1] 82000 frames  50s  shadow 0.1912  pos_sup 0.03393
[s1] 82500 frames  51s  shadow 0.1912  pos_sup 0.03395
[s1] 83000 frames  51s  shadow 0.1911  pos_sup 0.03393
[s1] 83500 frames  51s  shadow 0.1914  pos_sup 0.03401
[s1] 84000 frames  52s  shadow 0.1909  pos_sup 0.03392
[s1] 84500 frames  52s  shadow 0.1910  pos_sup 0.03396
[s1] 85000 frames  52s  shadow 0.1904  pos_sup 0.03385
[s1] 85500 frames  53s  shadow 0.1907  pos_sup 0.03392
[s1] 86000 frames  53s  shadow 0.1900  pos_sup 0.03376
[s1] 86500 frames  53s  shadow 0.1907  pos_sup 0.03385
[s1] 87000 frames  53s  shadow 0.1913  pos_sup 0.03392
[s1] 87500 frames  54s  shadow 0.1911  pos_sup 0.03389
[s1] 88000 frames  54s  shadow 0.1912  pos_sup 0.03395
[s1] 88500 frames  54s  shadow 0.1904  pos_sup 0.03380
[s1] 89000 frames  54s  shadow 0.1899  pos_sup 0.03374
[s1] 89500 frames  55s  shadow 0.1902  pos_sup 0.03381
[s1] 90000 frames  56s  shadow 0.1913  pos_sup 0.03399
[s1] 90500 frames  56s  shadow 0.1909  pos_sup 0.03393
[s1] 91000 frames  56s  shadow 0.1905  pos_sup 0.03389
[s1] 91500 frames  56s  shadow 0.1908  pos_sup 0.03394
[s1] 92000 frames  57s  shadow 0.1911  pos_sup 0.03400
[s1] 92500 frames  57s  shadow 0.1906  pos_sup 0.03389
[s1] 93000 frames  57s  shadow 0.1902  pos_sup 0.03380
[s1] 93500 frames  57s  shadow 0.1900  pos_sup 0.03375
[s1] 94000 frames  58s  shadow 0.1909  pos_sup 0.03397
[s1] 94500 frames  58s  shadow 0.1908  pos_sup 0.03399
[s1] 95000 frames  58s  shadow 0.1905  pos_sup 0.03394
[s1] 95500 frames  59s  shadow 0.1907  pos_sup 0.03397
[s1] 96000 frames  59s  shadow 0.1910  pos_sup 0.03400
[s1] 96500 frames  60s  shadow 0.1911  pos_sup 0.03403
[s1] 97000 frames  60s  shadow 0.1916  pos_sup 0.03409
[s1] 97500 frames  60s  shadow 0.1912  pos_sup 0.03403
[s1] 98000 frames  60s  shadow 0.1909  pos_sup 0.03395
[s1] 98500 frames  61s  shadow 0.1916  pos_sup 0.03410
[s1] 99000 frames  62s  shadow 0.1915  pos_sup 0.03409
[s1] 99500 frames  62s  shadow 0.1916  pos_sup 0.03408
[s1] 100000 frames  62s  shadow 0.1907  pos_sup 0.03390
[s1] 100500 frames  62s  shadow 0.1909  pos_sup 0.03393
[s1] 101000 frames  63s  shadow 0.1916  pos_sup 0.03403
[s1] 101500 frames  63s  shadow 0.1911  pos_sup 0.03392
[s1] 102000 frames  63s  shadow 0.1911  pos_sup 0.03389
[s1] 102500 frames  64s  shadow 0.1913  pos_sup 0.03398
[s1] 103000 frames  64s  shadow 0.1911  pos_sup 0.03391
[s1] 103500 frames  64s  shadow 0.1910  pos_sup 0.03385
[s1] 104000 frames  64s  shadow 0.1914  pos_sup 0.03394
[s1] 104500 frames  65s  shadow 0.1915  pos_sup 0.03394
[s1] 105000 frames  65s  shadow 0.1909  pos_sup 0.03386
[s1] 105500 frames  65s  shadow 0.1903  pos_sup 0.03377
[s1] 106000 frames  66s  shadow 0.1904  pos_sup 0.03380
[s1] 106500 frames  66s  shadow 0.1896  pos_sup 0.03364
[s1] 107000 frames  66s  shadow 0.1896  pos_sup 0.03365
[s1] 107500 frames  66s  shadow 0.1895  pos_sup 0.03360
[s1] 108000 frames  67s  shadow 0.1900  pos_sup 0.03369
[s1] 108500 frames  67s  shadow 0.1906  pos_sup 0.03377
[s1] 109000 frames  67s  shadow 0.1913  pos_sup 0.03389
[s1] 109500 frames  68s  shadow 0.1912  pos_sup 0.03383
[s1] 110000 frames  68s  shadow 0.1911  pos_sup 0.03383
[s1] 110500 frames  68s  shadow 0.1910  pos_sup 0.03381
[s1] 111000 frames  69s  shadow 0.1918  pos_sup 0.03402
[s1] 111500 frames  69s  shadow 0.1916  pos_sup 0.03401
[s1] 112000 frames  69s  shadow 0.1913  pos_sup 0.03397
[s1] 112500 frames  70s  shadow 0.1910  pos_sup 0.03393
[s1] 113000 frames  70s  shadow 0.1914  pos_sup 0.03409
[s1] 113500 frames  70s  shadow 0.1908  pos_sup 0.03398
[s1] 114000 frames  71s  shadow 0.1913  pos_sup 0.03405
[s1] 114500 frames  71s  shadow 0.1919  pos_sup 0.03417
[s1] 115000 frames  72s  shadow 0.1916  pos_sup 0.03412
[s1] 115500 frames  72s  shadow 0.1912  pos_sup 0.03402
[s1] 116000 frames  72s  shadow 0.1910  pos_sup 0.03398
[s1] 116500 frames  72s  shadow 0.1915  pos_sup 0.03407
[s1] 117000 frames  73s  shadow 0.1910  pos_sup 0.03399
[s1] 117500 frames  73s  shadow 0.1905  pos_sup 0.03388
[s1] 118000 frames  73s  shadow 0.1901  pos_sup 0.03378
[s1] 118500 frames  73s  shadow 0.1903  pos_sup 0.03380
[s1] 119000 frames  73s  shadow 0.1899  pos_sup 0.03372
[s1] 119500 frames  74s  shadow 0.1899  pos_sup 0.03373
[s1] 120000 frames  74s  shadow 0.1896  pos_sup 0.03367
[s1] 120500 frames  74s  shadow 0.1896  pos_sup 0.03366
[s1] 121000 frames  74s  shadow 0.1892  pos_sup 0.03358
[s1] 121500 frames  74s  shadow 0.1894  pos_sup 0.03363
[s1] 122000 frames  75s  shadow 0.1896  pos_sup 0.03369
[s1] 122500 frames  75s  shadow 0.1897  pos_sup 0.03371
[s1] 123000 frames  75s  shadow 0.1894  pos_sup 0.03366
[s1] 123500 frames  76s  shadow 0.1894  pos_sup 0.03367
[s1] 124000 frames  76s  shadow 0.1896  pos_sup 0.03371
[s1] 124500 frames  76s  shadow 0.1895  pos_sup 0.03369
[s1] 125000 frames  76s  shadow 0.1887  pos_sup 0.03353
[s1] 125500 frames  77s  shadow 0.1884  pos_sup 0.03347
[s1] 126000 frames  77s  shadow 0.1884  pos_sup 0.03346
[s1] 126500 frames  77s  shadow 0.1879  pos_sup 0.03337
[s1] 127000 frames  77s  shadow 0.1875  pos_sup 0.03327
[s1] 127500 frames  77s  shadow 0.1873  pos_sup 0.03322
[s1] 128000 frames  78s  shadow 0.1873  pos_sup 0.03325
[s1] 128500 frames  78s  shadow 0.1867  pos_sup 0.03313
[s1] 129000 frames  78s  shadow 0.1866  pos_sup 0.03308
[s1] 129500 frames  78s  shadow 0.1866  pos_sup 0.03310
[s1] 130000 frames  79s  shadow 0.1869  pos_sup 0.03314
[s1] 130500 frames  79s  shadow 0.1868  pos_sup 0.03310
[s1] 131000 frames  79s  shadow 0.1865  pos_sup 0.03307
[s1] 131500 frames  80s  shadow 0.1867  pos_sup 0.03310
[s1] 132000 frames  80s  shadow 0.1863  pos_sup 0.03301
[s1] 132500 frames  80s  shadow 0.1861  pos_sup 0.03298
[s1] 133000 frames  80s  shadow 0.1861  pos_sup 0.03302
[s1] 133500 frames  81s  shadow 0.1868  pos_sup 0.03316
[s1] 134000 frames  81s  shadow 0.1867  pos_sup 0.03314
[s1] 134500 frames  81s  shadow 0.1864  pos_sup 0.03310
[s1] 135000 frames  82s  shadow 0.1869  pos_sup 0.03316
[s1] 135500 frames  82s  shadow 0.1868  pos_sup 0.03314
[s1] 136000 frames  82s  shadow 0.1865  pos_sup 0.03307
[s1] 136500 frames  83s  shadow 0.1871  pos_sup 0.03322
[s1] 137000 frames  83s  shadow 0.1875  pos_sup 0.03329
